[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1405557353.062000 7/16/2014, 5:35:53 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, EB in situ
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MHcurveUpTo100.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1405557353.062,,1.000000e+002,2.979968e+002,3.787101e-005,0.000000e+000,4.719068e-003,0.000000e+000,3,8.955441e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405557370.812,,1.000000e+002,2.980009e+002,3.785613e-005,0.000000e+000,4.922495e-003,0.000000e+000,3,8.956674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557389.078,,1.000000e+002,2.980009e+002,3.786569e-005,0.000000e+000,4.871045e-003,0.000000e+000,3,8.956494e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557514.093,,7.500000e+001,2.979968e+002,3.762502e-005,0.000000e+000,4.912414e-003,0.000000e+000,3,9.037430e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,1.651001e-002,0,,0,
1405557532.093,,7.500000e+001,2.979968e+002,3.762383e-005,0.000000e+000,4.919561e-003,0.000000e+000,3,9.036902e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405557549.828,,7.500000e+001,2.980009e+002,3.763357e-005,0.000000e+000,4.669446e-003,0.000000e+000,3,9.036629e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557681.062,,5.000000e+001,2.980009e+002,3.719488e-005,0.000000e+000,4.828874e-003,0.000000e+000,3,9.124597e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557698.328,,5.000000e+001,2.980009e+002,3.719492e-005,0.000000e+000,5.040029e-003,0.000000e+000,3,9.123122e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557715.812,,5.000000e+001,2.980009e+002,3.719745e-005,0.000000e+000,4.925537e-003,0.000000e+000,3,9.121838e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405557831.359,,4.500000e+001,2.980050e+002,3.707405e-005,0.000000e+000,5.102601e-003,0.000000e+000,3,9.139146e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405557849.093,,4.500000e+001,2.979968e+002,3.706573e-005,0.000000e+000,5.128515e-003,0.000000e+000,3,9.141240e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405557867.578,,4.500000e+001,2.980050e+002,3.705795e-005,0.000000e+000,4.947011e-003,0.000000e+000,3,9.140087e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405557984.578,,4.000000e+001,2.980050e+002,3.693497e-005,0.000000e+000,5.206128e-003,0.000000e+000,3,9.158019e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558001.312,,4.000000e+001,2.979968e+002,3.693934e-005,0.000000e+000,4.991827e-003,0.000000e+000,3,9.159548e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558018.578,,4.000000e+001,2.979968e+002,3.692810e-005,0.000000e+000,4.992536e-003,0.000000e+000,3,9.160424e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558135.875,,3.500000e+001,2.980050e+002,3.677129e-005,0.000000e+000,4.909461e-003,0.000000e+000,3,9.178779e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558154.109,,3.500000e+001,2.980009e+002,3.677039e-005,0.000000e+000,5.131758e-003,0.000000e+000,3,9.179174e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558172.406,,3.500000e+001,2.980009e+002,3.676378e-005,0.000000e+000,5.079310e-003,0.000000e+000,3,9.179404e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558291.390,,3.000000e+001,2.980009e+002,3.661315e-005,0.000000e+000,5.055416e-003,0.000000e+000,3,9.196655e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558308.875,,3.000000e+001,2.979968e+002,3.659959e-005,0.000000e+000,5.250567e-003,0.000000e+000,3,9.196212e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558326.640,,3.000000e+001,2.979968e+002,3.660803e-005,0.000000e+000,5.263711e-003,0.000000e+000,3,9.196642e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558445.390,,2.500000e+001,2.979968e+002,3.638032e-005,0.000000e+000,4.715898e-003,0.000000e+000,3,9.220837e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558463.125,,2.500000e+001,2.980009e+002,3.637844e-005,0.000000e+000,4.653935e-003,0.000000e+000,3,9.222783e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558480.859,,2.500000e+001,2.980009e+002,3.637405e-005,0.000000e+000,4.803079e-003,0.000000e+000,3,9.219911e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558592.343,,2.000000e+001,2.980009e+002,3.616072e-005,0.000000e+000,4.714686e-003,0.000000e+000,3,9.240579e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558610.578,,2.000000e+001,2.979968e+002,3.614065e-005,0.000000e+000,4.679860e-003,0.000000e+000,3,9.240489e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558628.078,,2.000000e+001,2.980009e+002,3.615008e-005,0.000000e+000,4.684987e-003,0.000000e+000,3,9.240762e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558747.828,,1.500000e+001,2.979968e+002,3.587674e-005,0.000000e+000,4.941576e-003,0.000000e+000,3,9.261070e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558765.562,,1.500000e+001,2.979968e+002,3.587047e-005,0.000000e+000,4.793450e-003,0.000000e+000,3,9.261910e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558783.796,,1.500000e+001,2.980009e+002,3.586402e-005,0.000000e+000,4.767589e-003,0.000000e+000,3,9.260435e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558903.031,,1.000000e+001,2.979968e+002,3.552955e-005,0.000000e+000,4.515867e-003,0.000000e+000,3,9.280773e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405558921.281,,1.000000e+001,2.980009e+002,3.551948e-005,0.000000e+000,4.495549e-003,0.000000e+000,3,9.285970e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405558939.031,,1.000000e+001,2.979968e+002,3.552086e-005,0.000000e+000,4.583587e-003,0.000000e+000,3,9.282182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,1.651001e-002,0,,0,
1405559057.296,,5.000000e+000,2.980009e+002,3.504752e-005,0.000000e+000,4.124471e-003,0.000000e+000,3,9.305224e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405559076.031,,5.000000e+000,2.979968e+002,3.503961e-005,0.000000e+000,3.973545e-003,0.000000e+000,3,9.306003e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559094.265,,5.000000e+000,2.980009e+002,3.502773e-005,0.000000e+000,4.116623e-003,0.000000e+000,3,9.305294e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405559213.000,,0.000000e+000,2.979968e+002,3.411041e-005,0.000000e+000,4.151142e-003,0.000000e+000,3,9.319831e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559230.765,,0.000000e+000,2.979968e+002,3.406359e-005,0.000000e+000,4.253894e-003,0.000000e+000,3,9.322581e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559249.000,,0.000000e+000,2.979926e+002,3.401727e-005,0.000000e+000,4.036670e-003,0.000000e+000,3,9.321524e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.300781e-003,0,,0,
1405559366.796,,-5.000000e+000,2.979968e+002,2.913453e-005,0.000000e+000,1.530959e-002,0.000000e+000,3,9.231241e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,1.651001e-002,0,,0,
1405559384.546,,-5.000000e+000,2.980009e+002,2.843101e-005,0.000000e+000,1.702633e-002,0.000000e+000,3,9.218177e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405559402.781,,-5.000000e+000,2.979968e+002,2.777406e-005,0.000000e+000,1.863929e-002,0.000000e+000,3,9.202611e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559543.281,,-1.000000e+001,2.979968e+002,-6.295379e-006,0.000000e+000,-2.264711e-001,0.000000e+000,3,6.878693e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559561.515,,-1.000000e+001,2.979968e+002,-8.251761e-006,0.000000e+000,-1.729281e-001,0.000000e+000,3,7.665263e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559579.828,,-1.000000e+001,2.979968e+002,-9.840713e-006,0.000000e+000,-1.436564e-001,0.000000e+000,3,8.082805e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559698.609,,-1.500000e+001,2.979968e+002,-2.307687e-005,0.000000e+000,-3.983894e-002,0.000000e+000,3,9.328030e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559716.843,,-1.500000e+001,2.979968e+002,-2.364392e-005,0.000000e+000,-3.687348e-002,0.000000e+000,3,9.347459e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559735.078,,-1.500000e+001,2.979968e+002,-2.405062e-005,0.000000e+000,-3.455212e-002,0.000000e+000,3,9.363533e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405559853.359,,-2.000000e+001,2.980009e+002,-2.639300e-005,0.000000e+000,-1.688411e-002,0.000000e+000,3,9.479039e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405559871.593,,-2.000000e+001,2.980009e+002,-2.652970e-005,0.000000e+000,-1.567927e-002,0.000000e+000,3,9.481868e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405559889.093,,-2.000000e+001,2.980050e+002,-2.663340e-005,0.000000e+000,-1.483992e-002,0.000000e+000,3,9.484262e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560007.093,,-2.500000e+001,2.979968e+002,-2.802130e-005,0.000000e+000,-2.036441e-003,0.000000e+000,3,9.568998e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560025.328,,-2.500000e+001,2.979968e+002,-2.818814e-005,0.000000e+000,-1.120198e-003,0.000000e+000,3,9.572296e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560043.609,,-2.500000e+001,2.979968e+002,-2.832001e-005,0.000000e+000,-3.730885e-004,0.000000e+000,3,9.573746e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560162.843,,-3.000000e+001,2.980009e+002,-2.994868e-005,0.000000e+000,1.303915e-002,0.000000e+000,3,9.646593e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405560179.609,,-3.000000e+001,2.979968e+002,-3.004860e-005,0.000000e+000,1.380924e-002,0.000000e+000,3,9.647891e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560197.343,,-3.000000e+001,2.979968e+002,-3.013560e-005,0.000000e+000,1.420695e-002,0.000000e+000,3,9.649853e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560315.140,,-3.500000e+001,2.979968e+002,-3.052740e-005,0.000000e+000,1.935963e-002,0.000000e+000,3,9.699474e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560332.875,,-3.500000e+001,2.979968e+002,-3.051025e-005,0.000000e+000,1.925302e-002,0.000000e+000,3,9.699119e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405560351.140,,-3.500000e+001,2.980009e+002,-3.052972e-005,0.000000e+000,1.934581e-002,0.000000e+000,3,9.695178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405560468.875,,-4.000000e+001,2.980009e+002,-3.071146e-005,0.000000e+000,2.119503e-002,0.000000e+000,3,9.732365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405560486.640,,-4.000000e+001,2.980009e+002,-3.071395e-005,0.000000e+000,2.126909e-002,0.000000e+000,3,9.734866e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
