[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1405548582.796000 7/16/2014, 3:09:42 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, EB in situ
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MHcurveUpTo100.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1405548582.796,,1.000000e+002,2.979885e+002,9.363133e-006,0.000000e+000,7.383101e-002,0.000000e+000,3,6.122775e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405548601.031,,1.000000e+002,2.980009e+002,9.377916e-006,0.000000e+000,7.363009e-002,0.000000e+000,3,6.132801e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405548618.765,,1.000000e+002,2.980009e+002,9.405810e-006,0.000000e+000,7.222626e-002,0.000000e+000,3,6.142175e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405548745.562,,7.500000e+001,2.980009e+002,8.148569e-006,0.000000e+000,8.373601e-002,0.000000e+000,3,5.960253e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405548763.328,,7.500000e+001,2.980009e+002,8.168501e-006,0.000000e+000,8.400905e-002,0.000000e+000,3,5.966856e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405548782.062,,7.500000e+001,2.980050e+002,8.143809e-006,0.000000e+000,8.564248e-002,0.000000e+000,3,5.961427e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405548907.359,,5.000000e+001,2.979968e+002,6.771654e-006,0.000000e+000,1.011592e-001,0.000000e+000,3,5.716938e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405548942.828,,5.000000e+001,2.980050e+002,6.781558e-006,0.000000e+000,1.037733e-001,0.000000e+000,3,5.720872e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405548961.062,,5.000000e+001,2.979968e+002,6.783863e-006,0.000000e+000,1.027580e-001,0.000000e+000,3,5.710932e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405549080.546,,4.500000e+001,2.980050e+002,6.495065e-006,0.000000e+000,1.062388e-001,0.000000e+000,3,5.654051e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405549098.781,,4.500000e+001,2.980091e+002,6.487608e-006,0.000000e+000,1.069126e-001,0.000000e+000,3,5.644948e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405549116.578,,4.500000e+001,2.980009e+002,6.475685e-006,0.000000e+000,1.084222e-001,0.000000e+000,3,5.633493e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405549234.062,,4.000000e+001,2.980050e+002,6.182280e-006,0.000000e+000,1.109180e-001,0.000000e+000,3,5.568855e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405549251.546,,4.000000e+001,2.980009e+002,6.180161e-006,0.000000e+000,1.105101e-001,0.000000e+000,3,5.569922e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405549269.078,,4.000000e+001,2.980009e+002,6.175683e-006,0.000000e+000,1.115221e-001,0.000000e+000,3,5.558671e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1405549389.062,,3.500000e+001,2.979968e+002,5.875201e-006,0.000000e+000,1.164292e-001,0.000000e+000,3,5.471967e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1405549407.562,,3.500000e+001,2.980009e+002,5.880680e-006,0.000000e+000,1.163856e-001,0.000000e+000,3,5.496632e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
