[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1406858067.531000 7/31/2014, 6:54:27 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, EB in situ 2
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MHcurveUpTo100.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1406858067.531,,1.000000e+002,2.980009e+002,3.609869e-005,0.000000e+000,1.383561e-002,0.000000e+000,3,8.861071e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406858085.015,,1.000000e+002,2.980009e+002,3.610491e-005,0.000000e+000,1.363343e-002,0.000000e+000,3,8.861898e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406858103.500,,1.000000e+002,2.979926e+002,3.611251e-005,0.000000e+000,1.353327e-002,0.000000e+000,3,8.860871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.300781e-003,0,,0,
1406858226.515,,7.500000e+001,2.979968e+002,3.497247e-005,0.000000e+000,1.417633e-002,0.000000e+000,3,8.922192e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858244.750,,7.500000e+001,2.979926e+002,3.498226e-005,0.000000e+000,1.402521e-002,0.000000e+000,3,8.924119e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.300781e-003,0,,0,
1406858262.984,,7.500000e+001,2.979968e+002,3.497790e-005,0.000000e+000,1.396230e-002,0.000000e+000,3,8.923957e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858393.218,,5.000000e+001,2.980009e+002,3.278883e-005,0.000000e+000,1.578563e-002,0.000000e+000,3,8.971065e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406858410.953,,5.000000e+001,2.980050e+002,3.279069e-005,0.000000e+000,1.559095e-002,0.000000e+000,3,8.970454e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858429.203,,5.000000e+001,2.980009e+002,3.276848e-005,0.000000e+000,1.601799e-002,0.000000e+000,3,8.970004e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406858541.187,,4.500000e+001,2.979968e+002,3.212805e-005,0.000000e+000,1.658160e-002,0.000000e+000,3,8.976904e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858559.171,,4.500000e+001,2.979968e+002,3.211542e-005,0.000000e+000,1.663785e-002,0.000000e+000,3,8.975069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858577.406,,4.500000e+001,2.979968e+002,3.210350e-005,0.000000e+000,1.646238e-002,0.000000e+000,3,8.972332e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858694.703,,4.000000e+001,2.979968e+002,3.131797e-005,0.000000e+000,1.813996e-002,0.000000e+000,3,8.978837e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406858712.937,,4.000000e+001,2.980009e+002,3.131336e-005,0.000000e+000,1.756175e-002,0.000000e+000,3,8.977799e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
