[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1406898598.046000 8/1/2014, 6:09:58 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, EB in situ 2
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MHcurveUpTo100.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1406898598.046,,1.000000e+002,2.980009e+002,1.092870e-005,0.000000e+000,3.828438e-002,0.000000e+000,3,6.462886e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406898616.531,,1.000000e+002,2.980009e+002,1.093280e-005,0.000000e+000,3.736156e-002,0.000000e+000,3,6.466529e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406898634.265,,1.000000e+002,2.980009e+002,1.094041e-005,0.000000e+000,3.814706e-002,0.000000e+000,3,6.465639e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406898756.796,,7.500000e+001,2.980009e+002,9.444650e-006,0.000000e+000,4.714974e-002,0.000000e+000,3,6.279823e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406898774.781,,7.500000e+001,2.979968e+002,9.449786e-006,0.000000e+000,4.722274e-002,0.000000e+000,3,6.279458e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406898792.781,,7.500000e+001,2.979968e+002,9.454959e-006,0.000000e+000,4.641036e-002,0.000000e+000,3,6.289838e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406898922.781,,5.000000e+001,2.979968e+002,7.797857e-006,0.000000e+000,6.412744e-002,0.000000e+000,3,6.005283e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
1406898940.015,,5.000000e+001,2.980009e+002,7.792989e-006,0.000000e+000,6.341996e-002,0.000000e+000,3,6.002604e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406898958.250,,5.000000e+001,2.980009e+002,7.782925e-006,0.000000e+000,6.318083e-002,0.000000e+000,3,5.989570e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,8.209229e-003,0,,0,
1406899070.312,,4.500000e+001,2.980050e+002,7.452943e-006,0.000000e+000,6.693949e-002,0.000000e+000,3,5.927137e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,5,1,0.000000e+000,0,,0,
